threshold_m,store_set,cells_in,cells_total,coverage,marginal_cells
300,F1 pasar only,394,6228,0.0633,0
300,F2 +supermarket,708,6228,0.1137,314
300,F3 +fresh_food,798,6228,0.1281,90
300,F4 +minimarket,1739,6228,0.2792,941
300,F5 +toko_kelontong (all),1921,6228,0.3084,182
500,F1 pasar only,951,6228,0.1527,0
500,F2 +supermarket,1519,6228,0.2439,568
500,F3 +fresh_food,1657,6228,0.2661,138
500,F4 +minimarket,2825,6228,0.4536,1168
500,F5 +toko_kelontong (all),3048,6228,0.4894,223
1000,F1 pasar only,2431,6228,0.3903,0
1000,F2 +supermarket,3262,6228,0.5238,831
1000,F3 +fresh_food,3452,6228,0.5543,190
1000,F4 +minimarket,4483,6228,0.7198,1031
1000,F5 +toko_kelontong (all),4715,6228,0.7571,232
